Quarter,Date,Total Charging Devices,,,,,,
2022Q1,01-03-2022,29583,,,,,,
2022Q2,01-06-2022,31855,,,,,,
2022Q3,01-09-2022,33693,,,,,,
2022Q4,01-12-2022,36416,,,,,,
2023Q1,01-03-2023,38737,,,,,,
2023Q2,01-06-2023,43252,,,,,,
2023Q3,01-09-2023,48187,,,,,,
2023Q4,01-12-2023,52602,,,,,,
2024Q1,01-03-2024,56983,,,,,,
2024Q2,01-06-2024,62418,,,,,,\
2024Q3,01-09-2024,67980,,,,,,
2024Q4,01-12-2024,72271,,,,,,
2025Q1,01-03-2025,75305,,,,,,
2025Q2,01-06-2025,80552,,,,,,
2025Q3,01-07-2025,82002,,,,,,
